ITEM_NAME,ORG_CODE,SUPPLY_LEAD_TIME_VAR_DAYS,SERVICE_LEVEL,LEAD_TIME,MIN_QUANTITY_LEVEL,MAX_QUANTITY_LEVEL
ITEM-01,M1,30,90,120,250,400
ITEM-01,M2,5,90,60,10,300
ITEM-01,M3,10,90,90,250,400
ITEM-01,M4,10,90,90,10,300
ITEM-01,M5,5,90,10,90,333.3333333
ITEM-01,M6,5,90,10,90,333.3333333
ITEM-02,M7,1,90,5,90,333.3333333
ITEM-02,M5,5,90,10,90,333.3333333
ITEM-02,M8,5,90,10,90,333.3333333
ITEM-03,M1,30,90,120,90,333.3333333
ITEM-03,M7,1,90,5,90,333.3333333
ITEM-03,M2,5,90,10,90,333.3333333
ITEM-03,M3,5,90,10,90,333.3333333
ITEM-04,M9,5,90,10,90,333.3333333
ITEM-05,M4,5,90,10,90,333.3333333
ITEM-06,M5,5,90,10,90,333.3333333
ITEM-07,M8,5,90,10,90,333.3333333
ITEM-08,M6,5,90,10,90,333.3333333
ITEM-09,M10,5,90,10,90,333.3333333
ITEM-10,M14,5,90,10,90,333.3333333
ITEM-11,M18,5,90,10,90,333.3333333
ITEM-12,M22,5,90,10,90,333.3333333
ITEM-13,M26,5,90,10,90,333.3333333
ITEM-14,M30,5,90,10,90,333.3333333
ITEM-15,M34,5,90,10,90,333.3333333
ITEM-16,M38,5,90,10,90,333.3333333
ITEM-17,M42,5,90,10,90,333.3333333
ITEM-18,M46,5,90,10,90,333.3333333
ITEM-19,M50,5,90,10,90,333.3333333
ITEM-20,M54,5,90,10,90,333.3333333
ITEM-21,M58,5,90,10,90,333.3333333
ITEM-22,M62,5,90,10,90,333.3333333
