ORDER_GROUP,ITEM_NAME,ORG_CODE,ORDER_TYPE,ORDER_QUANTITY,OLD_DUE_DATE,SUGG_DUE_DATE
SUPPLY,ITEM-01,M1,On Hand,150,10/4/2025,10/4/2025
SUPPLY,ITEM-01,M1,On Hand,150,10/4/2025,10/4/2025
DEMAND,ITEM-01,M1,Sales order,50,10/11/2025,10/11/2025
DEMAND,ITEM-01,M1,Sales order,80,10/15/2025,10/15/2025
DEMAND,ITEM-01,M1,Sales order,90,10/19/2025,10/19/2025
DEMAND,ITEM-01,M1,Sales order,40,10/23/2025,10/23/2025
SUPPLY,ITEM-02,M7,On Hand,200,10/4/2025,10/4/2025
SUPPLY,ITEM-02,M7,Purchase Order,150,10/11/2025,10/11/2025
DEMAND,ITEM-02,M7,Work order demand,100,10/11/2025,10/11/2025
DEMAND,ITEM-02,M7,Work order demand,100,10/15/2025,10/15/2025
DEMAND,ITEM-02,M7,Work order demand,100,10/19/2025,10/19/2025
DEMAND,ITEM-02,M7,Work order demand,100,10/23/2025,10/23/2025
DEMAND,ITEM-01,M1,Sales order,117.5,10/15/2025,10/15/2025
DEMAND,ITEM-02,M1,Sales order,119.6666667,10/19/2025,10/19/2025
DEMAND,ITEM-03,M1,Sales order,121.8333333,10/23/2025,10/23/2025
SUPPLY,ITEM-04,M7,On Hand,124,10/4/2025,10/4/2025
SUPPLY,ITEM-05,M7,Purchase Order,126.1666667,10/11/2025,10/11/2025
DEMAND,ITEM-06,M7,Work order demand,128.3333333,10/11/2025,10/11/2025
DEMAND,ITEM-07,M7,Work order demand,130.5,10/15/2025,10/15/2025
DEMAND,ITEM-08,M7,Work order demand,132.6666667,10/19/2025,10/19/2025
DEMAND,ITEM-09,M7,Work order demand,134.8333333,10/23/2025,10/23/2025
DEMAND,ITEM-10,M1,Sales order,137,10/15/2025,10/15/2025
DEMAND,ITEM-11,M1,Sales order,139.1666667,10/19/2025,10/19/2025
DEMAND,ITEM-12,M1,Sales order,141.3333333,10/23/2025,10/23/2025
SUPPLY,ITEM-13,M7,On Hand,143.5,10/4/2025,10/4/2025
SUPPLY,ITEM-14,M7,Purchase Order,145.6666667,10/11/2025,10/11/2025
DEMAND,ITEM-15,M7,Work order demand,147.8333333,10/11/2025,10/11/2025
DEMAND,ITEM-16,M7,Work order demand,150,10/15/2025,10/15/2025
DEMAND,ITEM-17,M7,Work order demand,152.1666667,10/19/2025,10/19/2025
DEMAND,ITEM-18,M7,Work order demand,154.3333333,10/23/2025,10/23/2025
